province_code,province_name,city,site_name,latitude,longitude,medium,contamination_type,contamination_group,site_count,cost_min_cad_per_tonne,cost_max_cad_per_tonne,cost_mid_cad_per_tonne,city_adjusted_mid_cad_per_tonne
BC,British Columbia,Vancouver,Vanier Park,49.276368,-123.142586,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,300
BC,British Columbia,Vancouver,Vanier Park,49.276368,-123.142586,Surface soil,"BTEXs (benzene, toluene, ethylbenzene, and xylene)",Oil/Petroleum (PHCs),1,180,280,230,300
BC,British Columbia,Vancouver,Vanier Park,49.276368,-123.142586,Surface soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
BC,British Columbia,Vancouver,Vanier Park,49.276368,-123.142586,Surface soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,300
BC,British Columbia,Vancouver,Vanier Park,49.276368,-123.142586,Surface soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,300
BC,British Columbia,Vancouver,Workshop NE Corner of Building 21 at HMCS Discovery,49.296900,-123.123000,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
BC,British Columbia,Vancouver,Workshop NE Corner of Building 21 at HMCS Discovery,49.296900,-123.123000,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,300
ON,Ontario,Ottawa,100 Bayview Road,45.407955,-75.725951,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,150 Middle Street,45.419895,-75.714145,Groundwater,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,150 Middle Street,45.419895,-75.714145,Other medium,Energetics,Unknown,1,,,,
ON,Ontario,Ottawa,150 Middle Street,45.419895,-75.714145,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,150 Middle Street,45.419895,-75.714145,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,150 Middle Street,45.419895,-75.714145,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,"1501 St. Joseph, Ottawa",45.460512,-75.563249,Groundwater,"BTEXs (benzene, toluene, ethylbenzene, and xylene)",Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,"1501 St. Joseph, Ottawa",45.460512,-75.563249,Groundwater,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,"1501 St. Joseph, Ottawa",45.460512,-75.563249,Groundwater,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,"1501 St. Joseph, Ottawa",45.460512,-75.563249,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,156 Middle Street,45.419899,-75.714421,Groundwater,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,156 Middle Street,45.419899,-75.714421,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,156 Middle Street,45.419899,-75.714421,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,156 Middle Street,45.419899,-75.714421,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,160 Middle Street,45.419112,-75.715639,Groundwater,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,160 Middle Street,45.419112,-75.715639,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,160 Middle Street,45.419112,-75.715639,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,160 Middle Street,45.419112,-75.715639,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,160 Middle Street,45.419711,-75.714739,Groundwater,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,160 Middle Street,45.419711,-75.714739,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,160 Middle Street,45.419711,-75.714739,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,160 Middle Street,45.419711,-75.714739,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,161 Middle Street,45.419577,-75.715977,Groundwater,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,161 Middle Street,45.419577,-75.715977,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,161 Middle Street,45.419577,-75.715977,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,161 Middle Street,45.419577,-75.715977,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,1645 Woodroffe,45.328627,-75.746669,Groundwater,"BTEXs (benzene, toluene, ethylbenzene, and xylene)",Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,1645 Woodroffe,45.328627,-75.746669,Groundwater,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,1645 Woodroffe,45.328627,-75.746669,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,191 Colonel By Drive,45.421265,-75.685347,Soil,"BTEXs (benzene, toluene, ethylbenzene, and xylene)",Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,191 Colonel By Drive,45.421265,-75.685347,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,191 Colonel By Drive,45.421265,-75.685347,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,234 Atlantis Ave,45.396481,-75.759673,Groundwater,"Metal, metalloid, and organometallic",Unknown,1,,,,
