province_code,province_name,city,site_name,latitude,longitude,contamination_group_count,contamination_groups,contamination_types,contamination_record_count,est_cost_min_cad_per_tonne,est_cost_max_cad_per_tonne,est_cost_avg_mid_cad_per_tonne
ON,Ontario,Toronto,Former POL Compound Building 107 (Downsview),Unknown,Unknown,2,Unknown | Oil/Petroleum (PHCs),"Other organics | BTEXs (benzene, toluene, ethylbenzene, and xylene) | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",4,180,280,238.63
ON,Ontario,Toronto,Former Sewage Treatment Plant (Downsview),Unknown,Unknown,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PHCs (petroleum hydrocarbons)",2,180,280,238.63
ON,Ontario,Toronto,Former USTs Building 107 (Downsview),Unknown,Unknown,1,Oil/Petroleum (PHCs),"BTEXs (benzene, toluene, ethylbenzene, and xylene) | PHCs (petroleum hydrocarbons)",2,180,280,238.63
ON,Ontario,Toronto,Former building 102 (Downsview),Unknown,Unknown,1,Unknown,Other inorganics,1,,,
ON,Ontario,Toronto,Former building 131 (Downsview),Unknown,Unknown,1,Oil/Petroleum (PHCs),PHCs (petroleum hydrocarbons),1,180,280,238.63
ON,Ontario,Toronto,Fort York //,43.636900,-79.407800,2,Oil/Petroleum (PHCs) | Unknown,"BTEXs (benzene, toluene, ethylbenzene, and xylene) | Other organics | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons) | Metal, metalloid, and organometallic",7,180,280,238.63
ON,Ontario,Toronto,Gravel Parking Lot Construction Eng. Section (Downsview),Unknown,Unknown,1,Unknown,Other inorganics,1,,,
ON,Ontario,Toronto,HMCS York,43.633900,-79.401900,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | Other organics | PHCs (petroleum hydrocarbons) | PAHs (polycyclic aromatic hydrocarbon)",5,180,280,238.63
ON,Ontario,Toronto,Health Canada Laboratory,43.776653,-79.272697,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons),2,180,280,238.63
ON,Ontario,Toronto,Little Rouge Creek at Scarborough,43.813889,-79.156944,1,Unknown,"Metal, metalloid, and organometallic",2,,,
ON,Ontario,Toronto,Moss Park Armoury,43.654700,-79.373100,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",3,180,280,238.63
ON,Ontario,Toronto,Passmore,43.832900,-79.238300,1,Unknown,Isotopes,1,,,
ON,Ontario,Toronto,Plant 1 Former DeHavilland Plant Area (Downsview),Unknown,Unknown,1,Oil/Petroleum (PHCs),PHCs (petroleum hydrocarbons),1,180,280,238.63
ON,Ontario,Toronto,Plant 2 Former DeHavilland Plant Area (Downsview),Unknown,Unknown,1,Unknown,"Metal, metalloid, and organometallic",1,,,
ON,Ontario,Toronto,Plant 3 Former DeHavilland Plant Area (Downsview),Unknown,Unknown,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PHCs (petroleum hydrocarbons)",2,180,280,238.63
ON,Ontario,Toronto,Portland Slip,43.635800,-79.395500,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons) | Pesticides",4,180,280,238.63
ON,Ontario,Toronto,RCSU Warehouse,43.781512,-79.492002,1,Oil/Petroleum (PHCs),PHCs (petroleum hydrocarbons),1,180,280,238.63
ON,Ontario,Toronto,Rouge River at Scarborough,43.811111,-79.159722,1,Unknown,"Metal, metalloid, and organometallic",1,,,
ON,Ontario,Toronto,Scarborough Armoury,43.787200,-79.242500,1,Oil/Petroleum (PHCs),PHCs (petroleum hydrocarbons),1,180,280,238.63
ON,Ontario,Toronto,Spadina Quay Marina,43.636100,-79.393400,2,Oil/Petroleum (PHCs) | Unknown,PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons) | Pesticides,3,180,280,238.63
ON,Ontario,Toronto,Spadina Slip,43.637300,-79.391500,2,Oil/Petroleum (PHCs) | Unknown,PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons) | Pesticides,3,180,280,238.63
ON,Ontario,Toronto,TMFRC,Unknown,Unknown,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | Other organics | PHCs (petroleum hydrocarbons)",3,180,280,238.63
ON,Ontario,Toronto,"TORONTO (BLUFFERS PARK) (Sediment, SW Corner of Property)",43.709165,-79.228343,1,Unknown,"Metal, metalloid, and organometallic",1,,,
ON,Ontario,Toronto,"TORONTO (BLUFFERS PARK) (Soil,Eastern Tip of West breakwater)",43.708028,-79.232611,1,Unknown,"Metal, metalloid, and organometallic | Other Physical/Chemical (pH, temperature, dissolved solids, turbidity, etc.)",2,,,
