province_code,city,site_name,latitude,longitude,sand_score,clay_score,drainage_score,organic_score,score_formula,final_percentage
ON,Toronto,Plant 2 Former DeHavilland Plant Area (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Plant 3 Former DeHavilland Plant Area (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Portland Slip,43.635800,-79.395500,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,RCSU Warehouse,43.781512,-79.492002,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Rouge River at Scarborough,43.811111,-79.159722,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Scarborough Armoury,43.787200,-79.242500,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Spadina Quay Marina,43.636100,-79.393400,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Spadina Slip,43.637300,-79.391500,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,TMFRC,Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,"TORONTO (BLUFFERS PARK) (Sediment, SW Corner of Property)",43.709165,-79.228343,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,"TORONTO (BLUFFERS PARK) (Soil,Eastern Tip of West breakwater)",43.708028,-79.232611,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Toronto Main Harbour Channel Front (Daybeacon),43.634837,-79.346986,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Toronto Maintenance Center,43.610556,-79.509444,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Toronto Training Area,Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Unknown,Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,VIA TMC,43.610556,-79.509444,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,100 tons balance,45.575800,-73.525800,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"105 McGill Street and 400 Place D'Youville, Montreal",45.500001,-73.555956,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,200 places prkng Mtl Garrison,45.577100,-73.533100,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"46 St-Jacques, Montreal",45.506000,-73.557000,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"643,645, 655 and 655A Montée de Liesse; Lots 1 892 534 and 1 892 535",45.482533,-73.710536,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,AB- Section 10,45.489590,-73.547610,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Access ramp and docks repairs Montréal Garrison,45.576700,-73.521900,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"Atwater Boulevard, North of HWY 15, Montreal",45.476146,-73.573801,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Behind Kitchen (B155) - Montreal garrison,45.578600,-73.530800,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"Boulevard Atwater, South of HWY 15, Montreal",45.473089,-73.572386,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"Boulevard LaSalle, South of HWY 15, Montreal",45.474016,-73.570171,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Brossard,45.471036,-73.544213,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Building E,45.515550,-73.660000,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Canal sediments,45.461390,-73.602971,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Cathcart Armoury,45.502300,-73.569700,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"Central thermal retaining wall, Bldg 37 Montreal Garrison",45.576400,-73.519200,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Champlain Bridge,45.472740,-73.550920,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Construction of CSC building Montréal,45.575800,-73.525800,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Depot C - occupied by lessee,45.468865,-73.747621,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,ETAP_approche_nord,45.468240,-73.533170,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Enlargement of LAV III testing ramp at 202 WKP,45.573600,-73.528100,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,FEC- Field Electrical Center,45.468865,-73.747621,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Former Biotechnology Research Institute - Montreal,45.486620,-73.673180,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Former Building 12,45.579700,-73.524400,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Former firefighter training site,45.468865,-73.747621,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"Gaetan-Laberge Boulevard, North of HWY 15",45.474891,-73.549443,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"Gaetan-Laberge Boulevard, South of HWY 15, Montreal",45.470644,-73.561643,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Garage Construction LAV III,45.579700,-73.524400,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Hangar 10 local 151 drilling in floor of an old shop,45.577500,-73.516900,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
