province_code,city,site_name,latitude,longitude,sand_score,clay_score,drainage_score,organic_score,score_formula,final_percentage
QC,Montreal,Site 13.10,45.484100,-73.567192,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 13.11,45.485298,-73.565353,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 13.2,45.477402,-73.576820,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 13.3,45.483822,-73.569274,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 13.4,45.476898,-73.576141,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 13.5,45.478901,-73.573639,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 13.6,45.481201,-73.570862,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 13.7,45.480701,-73.571953,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 13.8,45.482498,-73.569283,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 13.9,45.483398,-73.568230,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 14.1.1,45.484600,-73.568130,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 14.2,45.486198,-73.565140,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 14.3,45.488300,-73.561699,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 14.4,45.486801,-73.562759,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 14.7,45.488201,-73.560410,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 15.1,45.489899,-73.559280,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 15.2,45.489799,-73.557060,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 15.4,45.490799,-73.554268,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 15.5,45.490299,-73.551117,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 15.6,45.490601,-73.557579,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 15.7,45.490799,-73.552757,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 16.1 Peel Basin,45.492100,-73.554832,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 8.4,45.457100,-73.614342,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 9.1.1,45.461464,-73.604558,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site H,45.468865,-73.747621,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Soil assessment building 166,45.576100,-73.531700,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,St-Grégoire Armoury,45.532600,-73.590900,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Technoparc (industrial park) - Saint-Laurent,45.489983,-73.758774,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Test banch building 15,45.574500,-73.522600,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Tétreaultville - front range light,45.597380,-73.510540,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Underground infrastructure replacement - Montréal Garrison,45.575800,-73.525800,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"Used snow sites, ASU LP",45.579700,-73.527800,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Vacant site (lot 12) -firefighter training site No. 2,45.468865,-73.747621,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"Wellington Street, North of HWY 15, Montreal",45.473453,-73.562516,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
