province_code,province_name,city,site_name,site_id,site_type,latitude,longitude,area_sqm,former_use,contamination_level,soil_suitability,transit_distance_m,infrastructure_readiness,activity_status,viability_score,estimated_units,estimated_remediation_cad,recommended_form
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5531,winnipeg-osm-parking-lot-33094694,parking_lot,49.8923228222222,-97.1447820148148,2952,surface parking,medium,73,100,88,likely_active,16,56,738000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5532,winnipeg-osm-parking-lot-33163776,parking_lot,49.8890600857143,-97.1355923285714,1899,surface parking,medium,73,31,88,likely_active,16,36,474750,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5535,winnipeg-osm-parking-lot-33164337,parking_lot,49.8938559176471,-97.1362545764706,2163,surface parking,medium,73,38,88,likely_active,16,41,540750,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5536,winnipeg-osm-parking-lot-33164350,parking_lot,49.8945290227273,-97.1365127272727,2666,surface parking,medium,73,71,88,likely_active,16,50,666500,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5537,winnipeg-osm-parking-lot-33165836,parking_lot,49.8903944857143,-97.1466542142857,2290,surface parking,medium,73,103,88,likely_active,16,43,572500,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5538,winnipeg-osm-parking-lot-33165866,parking_lot,49.890543105,-97.145878525,1817,surface parking,medium,73,148,88,likely_active,16,34,454250,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5539,winnipeg-osm-parking-lot-33166279,parking_lot,49.8943577,-97.1460766,2442,surface parking,medium,73,138,88,likely_active,16,46,610500,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5540,winnipeg-osm-parking-lot-33166839,parking_lot,49.8936476888889,-97.1473052111111,5081,surface parking,medium,73,83,88,likely_active,16,96,1270250,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5544,winnipeg-osm-parking-lot-33193875,parking_lot,49.8864321,-97.14358742,1202,surface parking,medium,73,38,88,likely_active,16,23,300500,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5545,winnipeg-osm-parking-lot-33193878,parking_lot,49.88626102,-97.14290786,1200,surface parking,medium,73,37,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5547,winnipeg-osm-parking-lot-33194206,parking_lot,49.88629804,-97.1399835,1640,surface parking,medium,73,128,88,likely_active,16,31,410000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5548,winnipeg-osm-parking-lot-33297425,parking_lot,49.8987103625,-97.13738400625,1878,surface parking,medium,73,43,88,likely_active,16,35,469500,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5550,winnipeg-osm-parking-lot-33408775,parking_lot,49.8801531,-97.12880824,1200,surface parking,medium,73,131,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5551,winnipeg-osm-parking-lot-33408776,parking_lot,49.8792689714286,-97.1283990857143,2097,surface parking,medium,73,96,88,likely_active,16,40,524250,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5552,winnipeg-osm-parking-lot-33573287,parking_lot,49.8811358142857,-97.1303781142857,1200,surface parking,medium,73,124,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5554,winnipeg-osm-parking-lot-33613518,parking_lot,49.87489444,-97.11798916,1200,surface parking,medium,73,35,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5555,winnipeg-osm-parking-lot-34611615,parking_lot,49.8708635846154,-97.2291588769231,4741,surface parking,medium,73,408,88,likely_active,9,90,1185250,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5556,winnipeg-osm-parking-lot-35974739,parking_lot,49.8630669571429,-97.1333968714286,2384,surface parking,medium,73,31,88,likely_active,16,45,596000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5557,winnipeg-osm-parking-lot-37354790,parking_lot,49.95477201,-97.25152502,2228,surface parking,medium,73,1360,88,likely_active,4,42,557000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5558,winnipeg-osm-parking-lot-37354792,parking_lot,49.96044695,-97.247498575,1269,surface parking,medium,73,1817,88,likely_active,4,24,317250,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5559,winnipeg-osm-parking-lot-39413932,parking_lot,49.8426758733333,-97.1540146666667,4352,surface parking,medium,73,43,88,likely_active,16,82,1088000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5560,winnipeg-osm-parking-lot-39476188,parking_lot,49.84033089,-97.15571413,1200,surface parking,medium,73,183,88,likely_active,12,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5561,winnipeg-osm-parking-lot-39501724,parking_lot,49.8124360666667,-97.1646438083333,1994,surface parking,medium,73,58,88,likely_active,16,38,498500,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5562,winnipeg-osm-parking-lot-40250550,parking_lot,49.8712642125,-97.233985525,3641,surface parking,medium,73,152,88,likely_active,12,69,910250,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5563,winnipeg-osm-parking-lot-40297606,parking_lot,49.8433212142857,-97.1782976642857,10398,surface parking,medium,73,113,88,likely_active,19,197,2599500,mid-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5564,winnipeg-osm-parking-lot-41125055,parking_lot,49.800526068421,-97.1631474842105,17923,surface parking,medium,73,163,88,likely_active,20,339,4480750,mid-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5565,winnipeg-osm-parking-lot-41128043,parking_lot,49.8315335625,-97.1684161625,4386,surface parking,medium,73,137,88,likely_active,16,83,1096500,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5566,winnipeg-osm-parking-lot-45459773,parking_lot,49.89651524,-97.14207216,1316,surface parking,medium,73,20,88,likely_active,16,25,329000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5567,winnipeg-osm-parking-lot-46036110,parking_lot,49.9340550166667,-97.1943926833333,5652,surface parking,medium,73,67,88,likely_active,17,107,1413000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5568,winnipeg-osm-parking-lot-50194208,parking_lot,49.8800268166667,-97.27467295,1200,surface parking,medium,73,65,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5569,winnipeg-osm-parking-lot-50319804,parking_lot,49.8885929235294,-97.1306858823529,2489,surface parking,medium,73,79,88,likely_active,16,47,622250,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5570,winnipeg-osm-parking-lot-51687528,parking_lot,49.8662542416667,-97.3176483,1200,surface parking,medium,73,341,88,likely_active,8,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5571,winnipeg-osm-parking-lot-54896697,parking_lot,49.7888075272727,-97.1604197363636,5326,surface parking,medium,73,81,88,likely_active,17,101,1331500,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5574,winnipeg-osm-parking-lot-56235115,parking_lot,49.87572779,-97.10638981,2276,surface parking,medium,73,351,88,likely_active,8,43,569000,low-rise
